 X, Y, W, T
0.4,-0.18,0.21,21.59
0.35,-0.1,0.08,21.61
0.39,-0.12,0.06,21.57
0.5,-0.04,0.11,21.57
0.49,-0.11,0.04,21.53
0.89,0.14,0.08,21.4
0.7,0.06,0.03,21.43
0.66,0.07,0.12,21.5
0.73,0.06,0.08,21.46
0.62,0.15,0.1,21.44
0.78,0.05,0.11,21.42
0.64,0.01,0.06,21.45
0.88,0.14,0.15,21.42
0.85,0.16,0.11,21.39
0.66,0.23,0.13,21.46
0.49,0,0.14,21.56
0.57,-0.04,0.24,21.54
0.45,-0.05,0.17,21.53
0.76,0.1,0.1,21.5
0.5,0.06,0.14,21.55
0.69,0.08,0.1,21.55
0.98,0.14,0.27,21.38
0.8,0.11,-0.04,21.49
0.76,0.18,0.14,21.48
0.65,0.11,0.13,21.55
0.8,0.12,0.16,21.6
0.7,0.19,0.22,21.59
0.66,0.11,0.08,21.61
0.67,0.14,0.22,21.58
0.64,0.05,-0.05,21.55
0.54,0.11,0.22,21.51
0.51,0.1,0.07,21.52
0.61,0,0.25,21.45
0.38,-0.02,0.27,21.65
0.24,-0.09,0.12,21.7
0.49,-0.02,0.19,21.6
0.46,0.06,0.19,21.59
0.49,0.02,0.03,21.59
0.82,0.04,0.2,21.52
0.37,-0.02,0.02,21.68
0.21,-0.13,0.18,21.63
0.41,-0.02,0.01,21.51
0.76,0.15,0.13,21.47
0.53,0.02,0.24,21.55
0.58,0.11,0.18,21.46
0.54,-0.12,0.31,21.54
0.58,-0.12,0.08,21.55
0.51,-0.04,0.18,21.59
0.35,-0.08,0.05,21.59
0.5,0.02,0.1,21.53
0.4,-0.02,0.23,21.58
0.49,-0.07,0.13,21.62
0.55,-0.03,0.11,21.57
0.78,0.04,0.07,21.49
0.58,-0.02,0.16,21.53
0.72,0.02,0.17,21.47
0.79,0.02,0.18,21.4
0.8,0.01,0.12,21.45
0.76,-0.05,0.08,21.35
0.79,0.04,0.2,21.49
0.89,0.08,0.16,21.41
0.8,0.17,0.04,21.46
0.79,-0.07,0.2,21.51
0.86,0.04,0.21,21.47
0.97,0.09,0.13,21.45
0.71,0.07,0.07,21.55
0.58,0.1,0.12,21.6
0.83,0.11,0.19,21.53
0.77,0.02,0.22,21.61
0.43,-0.03,0.16,21.68
0.4,-0.03,0.21,21.69
0.1,-0.06,0.04,21.82
0.25,0.03,0.12,21.74
0.39,0.07,0.04,21.67
0.48,0.06,0.08,21.65
0.93,0.08,0.15,21.54
0.74,-0.02,0.12,21.64
0.89,0.16,0.17,21.56
0.86,0.09,0.15,21.54
0.82,0.1,0.09,21.53
0.57,0.05,0.06,21.65
0.51,0.06,0.1,21.66
0.74,0,0.07,21.64
0.74,0.02,0.22,21.61
0.71,0.01,0.11,21.67
0.44,-0.07,0.02,21.82
0.35,-0.06,0.11,21.74
0.43,-0.06,0.19,21.71
0.46,-0.09,0.08,21.67
0.44,-0.09,0,21.7
0.75,-0.05,0.03,21.56
0.85,0.06,0.1,21.53
0.93,0.03,0.14,21.4
0.93,0.17,0.11,21.4
0.79,0.17,0.13,21.48
0.73,-0.02,-0.01,21.56
0.93,0.1,0.08,21.5
0.9,0.12,0.17,21.45
0.73,0.12,0.02,21.6
1.03,0.09,0.17,21.42
0.82,0.09,0.14,21.51
0.84,0.09,0.12,21.53
0.72,0.08,0.13,21.54
0.67,0,0.05,21.53
0.8,0,0.1,21.52
0.83,0.11,0.16,21.6
0.75,0.13,0.16,21.72
0.5,-0.02,0.1,21.79
0.31,-0.14,0.07,21.76
0.59,-0.02,0.13,21.68
0.46,-0.15,0.14,21.72
0.34,-0.03,0.06,21.75
0.54,0.03,0.16,21.6
0.5,0.02,0.16,21.58
0.27,-0.14,0.11,21.64
0.49,0.03,0.18,21.56
0.27,0,0.26,21.77
0.41,-0.08,0.26,21.64
0.46,0.01,0.21,21.59
0.77,0.02,0.23,21.49
0.83,0.15,0.21,21.5
0.68,-0.06,0.23,21.53
0.88,0.07,0.12,21.37
0.71,0.14,0.14,21.5
0.74,0.08,0.14,21.54
0.61,-0.01,0.16,21.5
0.51,-0.06,0.21,21.58
0.66,0,0.28,21.53
0.65,-0.05,0.18,21.54
0.49,-0.08,0.03,21.58
0.83,0.03,0.14,21.6
0.96,0.14,0.17,21.45
0.73,0.06,0.17,21.57
0.75,0.14,0.09,21.57
0.77,0.01,0.09,21.61
0.82,0.07,0.2,21.56
0.87,0.09,0.13,21.45
0.88,0.12,0.1,21.46
0.89,-0.05,0.08,21.47
1.03,0.07,0.19,21.45
0.87,0.09,0.06,21.58
0.83,0.12,0.12,21.48
0.58,-0.05,0.19,21.64
0.65,-0.08,0.16,21.59
0.69,0.04,0.18,21.6
0.7,0.03,0.28,21.64
0.77,0.04,0.21,21.63
0.82,0.05,0.18,21.63
0.66,0.15,0.17,21.65
0.64,0.06,0.14,21.68
0.74,0.01,0.1,21.63
0.6,0.04,0.18,21.69
0.65,-0.01,0.13,21.66
0.74,-0.06,0.18,21.56
0.78,-0.04,0.12,21.59
0.92,0.18,0.18,21.49
0.76,0.13,0.17,21.51
0.74,0.06,0.12,21.57
0.78,0.05,0.15,21.52
0.71,0.08,0.19,21.61
0.56,0.03,0.19,21.78
0.67,-0.05,0.15,21.63
0.66,0.2,0.04,21.57
0.81,0.11,0.13,21.59
1.02,0.13,0.11,21.51
0.87,0.19,0.05,21.64
0.82,0.18,0.16,21.71
0.84,0.31,0.24,21.61
0.77,0.15,0.16,21.66
0.75,0.17,0.1,21.58
0.9,0.09,0.18,21.54
0.83,0.03,0.09,21.55
0.64,0.05,0.22,21.62
0.52,-0.03,0.12,21.65
0.71,0.16,0.19,21.62
0.69,0.08,0.21,21.68
0.88,0.12,0.14,21.54
0.84,0.08,0.16,21.66
0.99,0.07,0.23,21.57
0.83,0.18,0.14,21.63
0.69,0.22,0.22,21.65
0.74,0.1,0.04,21.57
1,0.09,0.13,21.53
0.91,0.1,0.16,21.52
0.82,0.24,0.21,21.57
0.83,0.15,0.07,21.49
0.92,0.18,0.21,21.51
0.84,0.14,0.18,21.57
0.8,0.03,0.08,21.58
0.77,-0.01,0.08,21.64
0.89,0.09,0.08,21.56
0.88,0.19,0.13,21.58
0.71,0.23,0.17,21.58
0.8,0.24,0.08,21.59
0.78,0.11,0.15,21.61
0.79,0.23,0.22,21.7
0.5,-0.02,0.15,21.73
0.59,0.07,0.19,21.66
0.41,0.05,0.15,21.71
0.81,0.17,0.22,21.54
0.77,0.09,0.21,21.58
0.68,0.15,0.26,21.62
0.69,0.05,0.17,21.61
0.61,-0.04,0.11,21.61
0.62,0.11,0.22,21.6
0.33,0,0.05,21.64
0.41,0,0.17,21.7
0.37,-0.1,0.17,21.8
0.34,-0.05,0.09,21.82
0.23,0.04,0.05,21.88
0.32,0.06,0.12,21.86
0.53,-0.02,0.08,21.78
0.52,-0.05,0.06,21.74
0.58,0.03,0.22,21.75
0.52,-0.05,0.28,21.82
0.52,-0.1,0.19,21.83
0.56,0.05,0.24,21.78
0.67,0.06,0.18,21.6
0.39,-0.11,0.01,21.73
0.65,-0.04,0.07,21.65
0.83,0.05,0.18,21.62
0.88,0.07,0.15,21.55
0.72,0,0.05,21.59
0.65,0.1,0.07,21.65
0.81,0.09,0.16,21.6
0.68,0.08,0.19,21.68
0.54,-0.08,0.1,21.72
0.64,0.08,0.09,21.67
0.49,0.03,0.27,21.82
